company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
ABB,2012-12,+,-,-,Shareholder Returns & Reinvestment
ABB,2014-03,-,-,-,Reserve-Funded Investment & Paydown
ABB,2015-03,-,-,+,Distress - Financing the Burn
ABB,2016-03,+,-,-,Shareholder Returns & Reinvestment
ABB,2017-03,+,-,-,Shareholder Returns & Reinvestment
ABB,2018-03,+,-,+,Growth via External Financing
ABB,2019-03,+,-,+,Growth via External Financing
ABB,2020-03,+,-,+,Growth via External Financing
ABB,2021-03,+,-,-,Reinvestor - Debt Paydown
ABB,2022-03,+,-,-,Reinvestor - Debt Paydown
ABB,2023-03,+,-,+,Growth via External Financing
ABB,2024-03,+,-,-,Reinvestor - Debt Paydown
ADANIENSOL,2014-03,-,-,-,Reserve-Funded Investment & Paydown
ADANIENSOL,2015-03,-,-,+,Distress - Financing the Burn
ADANIENSOL,2016-03,+,-,-,Reinvestor - Debt Paydown
ADANIENSOL,2017-03,+,-,-,Shareholder Returns & Reinvestment
ADANIENSOL,2018-03,+,-,+,Growth via External Financing
ADANIENSOL,2019-03,+,-,+,Growth via External Financing
ADANIENSOL,2020-03,+,-,+,Growth via External Financing
ADANIENSOL,2021-03,+,-,-,Shareholder Returns & Reinvestment
ADANIENSOL,2022-03,+,-,-,Shareholder Returns & Reinvestment
ADANIENSOL,2023-03,+,-,+,Growth via External Financing
ADANIENSOL,2024-03,+,-,-,Shareholder Returns & Reinvestment
ADANIENT,2013-03,+,-,+,Growth via External Financing
ADANIENT,2014-03,+,-,-,Shareholder Returns & Reinvestment
ADANIENT,2015-03,+,-,+,Growth via External Financing
ADANIENT,2016-03,+,-,-,Reinvestor - Debt Paydown
ADANIENT,2017-03,+,-,+,Growth via External Financing
ADANIENT,2018-03,+,-,+,Growth via External Financing
ADANIENT,2019-03,+,+,-,Divestment & Shareholder Returns
ADANIENT,2020-03,+,-,-,Shareholder Returns & Reinvestment
ADANIENT,2021-03,+,-,+,Growth via External Financing
ADANIENT,2022-03,+,-,+,Growth via External Financing
ADANIENT,2023-03,+,-,-,Shareholder Returns & Reinvestment
ADANIENT,2024-03,+,-,+,Growth via External Financing
ADANIGREEN,2017-03,+,-,+,Growth via External Financing
ADANIGREEN,2018-03,+,-,+,Growth via External Financing
ADANIGREEN,2019-03,+,-,+,Growth via External Financing
ADANIGREEN,2020-03,+,-,+,Growth via External Financing
ADANIGREEN,2021-03,+,-,+,Growth via External Financing
ADANIGREEN,2022-03,+,-,+,Growth via External Financing
ADANIGREEN,2023-03,+,-,-,Shareholder Returns & Reinvestment
ADANIGREEN,2024-03,+,-,+,Growth via External Financing
ADANIPORTS,2013-03,+,-,+,Growth via External Financing
ADANIPORTS,2014-03,+,-,+,Growth via External Financing
ADANIPORTS,2015-03,+,-,-,Shareholder Returns & Reinvestment
ADANIPORTS,2016-03,+,-,+,Growth via External Financing
ADANIPORTS,2017-03,+,-,-,Reinvestor - Debt Paydown
ADANIPORTS,2018-03,+,-,-,Shareholder Returns & Reinvestment
ADANIPORTS,2019-03,+,-,+,Growth via External Financing
ADANIPORTS,2020-03,+,-,-,Shareholder Returns & Reinvestment
ADANIPORTS,2021-03,+,-,+,Growth via External Financing
ADANIPORTS,2022-03,+,-,-,Shareholder Returns & Reinvestment
