table,rows_in,rows_out,rejected,timestamp,runtime_s
companies,92,92,0,2026-08-24T14:58:26+00:00,0.168
profitandloss,1276,1070,206,2026-08-24T14:58:26+00:00,0.147
balancesheet,1312,1140,172,2026-08-24T14:58:26+00:00,0.16
cashflow,1187,1056,131,2026-08-24T14:58:26+00:00,0.087
analysis,20,16,4,2026-08-24T14:58:26+00:00,0.009
documents,1585,1456,129,2026-08-24T14:58:26+00:00,0.077
prosandcons,16,14,2,2026-08-24T14:58:26+00:00,0.007
sectors,92,92,0,2026-08-24T14:58:26+00:00,0.014
stock_prices,5520,5520,0,2026-08-24T14:58:26+00:00,0.425
market_cap,552,552,0,2026-08-24T14:58:26+00:00,0.045
financial_ratios,1184,1041,143,2026-08-24T14:58:26+00:00,0.158
peer_groups,56,56,0,2026-08-24T14:58:26+00:00,0.01
