company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,return_on_capital_pct,return_on_assets_pct,roce_rating,high_leverage_flag,icr_label,icr_warning_flag,net_debt_cr,revenue_cagr_3yr,revenue_cagr_3yr_flag,revenue_cagr_5yr,revenue_cagr_5yr_flag,revenue_cagr_10yr,revenue_cagr_10yr_flag,pat_cagr_3yr,pat_cagr_3yr_flag,pat_cagr_5yr,pat_cagr_5yr_flag,pat_cagr_10yr,pat_cagr_10yr_flag,eps_cagr_3yr,eps_cagr_3yr_flag,eps_cagr_5yr,eps_cagr_5yr_flag,eps_cagr_10yr,eps_cagr_10yr_flag,cfo_quality_score,cfo_quality_label,capex_intensity_pct,capex_intensity_label,fcf_conversion_pct,capital_allocation_label,composite_quality_score,sector,market_cap_crore,pe_ratio,pb_ratio,dividend_yield_pct,net_profit,sales
LT,2024-03,7.031246466738726,13.506668535997433,77.66510140873214,0.10345688880007993,3.5441547518923464,8.027628521638107,20445.0,2179.0,95.0,1334.5333333333333,36.0,2071.0,18266.0,118.53411200144868,56.44423467905896,excellent,0,,0,-6673.0,17.592821624288746,,10.335347989682408,,10.02514597108597,,6.361264204860495,,8.75885858017449,,12.273743409690363,,5.027553928675843,,8.56169392953159,,10.500834061722086,,1.4464230063906993,High Quality,0.9854689683555468,Asset Light,68.45806127574083,Liquidating Assets,96.75,Industrials,1124597.5,30.8,2.48,1.26,15547.0,221113.0
INDIGO,2024-03,11.852722628584697,76.29890862649484,892.568306010929,0.018579234972677595,22.612639724849526,56.38625204582652,9424.0,11759.0,212.0,190.625,0.0,17.0,21183.0,4953.540772532189,668.3306055646481,excellent,0,,0,-171.0,67.58091776468258,,19.313355125806165,,20.01227897172877,,,TURNAROUND,120.69250867467933,,32.9316579498421,,,TURNAROUND,121.23568222761168,,-34.87773528813343,,-14.344662971577204,Accrual Risk,17.065772669220944,Capital Intensive,17.92555113841706,Shareholder Returns,86.23,Consumer Discretionary,1040632.92,76.23,7.87,4.27,8167.0,68904.0
TCS,2024-03,19.136712150207767,26.690688396923118,50.944313673485176,0.0886406082507266,87.09511568123393,1.6559406621205455,50429.0,6091.0,127.0,249.9696132596685,58.0,8021.0,44338.0,60.2081007004365,31.689259788825343,excellent,0,,0,-23741.0,13.632864555506409,,10.463614801716602,,11.404391189817975,,12.286310199806593,,7.871172131953608,,9.07908137484088,,13.007434657986106,,8.618771612987096,,9.991915190476197,,1.0364105693048848,High Quality,2.528508507926756,Asset Light,78.43256190120692,Liquidating Assets,84.72,Information Technology,461188.15,78.69,6.08,1.62,46099.0,240893.0
INFY,2024-03,17.08075746730006,23.703390381987376,29.788006718416632,0.09486358890553362,87.52340425531915,1.129760329363329,20117.0,5093.0,63.0,212.73780782230807,,8359.0,25210.0,32.906970717802544,19.297162182032054,excellent,0,,0,-16264.0,15.216500798806365,,13.199100930556229,,11.852717458931128,,10.558796476740762,,11.239419983657939,,9.433477603192465,,11.868894208139679,,12.474611314209483,,10.60156477390728,,1.037696383329751,High Quality,3.314244810307802,Moderate,55.22855181880576,Reinvestor,58.72,Information Technology,1112279.92,35.99,8.97,4.1,26248.0,153670.0
HCLTECH,2024-03,14.293122742532729,22.015594151738192,23.01393141233172,0.08435023365512796,46.46112115732369,1.1101650405025958,15840.0,6608.0,58.0,251.4290976058932,90.0,5758.0,22448.0,27.05313357020305,15.867725188372422,excellent,0,,0,-1379.0,13.396477329776978,,12.710299978373406,,,INSUFFICIENT,12.043662852781601,,9.194090295112023,,,INSUFFICIENT,12.257330985276148,,9.407036350794119,,,INSUFFICIENT,1.371283984612863,High Quality,6.012027694631208,Moderate,65.45995536821225,Reinvestor,46.62,Information Technology,412593.29,63.63,5.44,1.99,15710.0,109913.0
ADANIPOWER,2024-03,41.36759945184802,36.20186292228556,48.27674122146251,0.8023177656738903,8.297225501770956,0.5472399439185297,17651.0,3481.0,54.0,111.86155042779363,0.0,34616.0,14170.0,18.385823227581948,22.638002804073516,good,0,,0,34242.0,24.294797156226156,,16.086096410440966,,12.629527157691523,,154.07088459944453,,,TURNAROUND,,TURNAROUND,162.07413942088965,,,TURNAROUND,,TURNAROUND,1.3223405880103996,High Quality,6.9134674584417395,Moderate,96.83454026771999,Liquidating Assets,45.45,Energy,1372183.55,44.57,9.91,1.65,20829.0,50351.0
IRCTC,2024-03,26.01873536299766,34.33255269320843,34.39628482972136,0.018575851393188854,82.73684210526316,0.7010343129207027,667.0,215.0,14.0,40.375,47.0,60.0,882.0,42.82674772036474,18.240026268264653,excellent,0,,0,60.0,76.46921430165466,,17.955244103890912,,,INSUFFICIENT,81.11627776293705,,29.16686408659448,,,INSUFFICIENT,91.29311827723889,,28.473515712343932,,,INSUFFICIENT,0.9036900006508211,Moderate,5.035128805620609,Moderate,45.49795361527968,Reinvestor,44.0,Consumer Discretionary,1258520.29,60.44,5.74,1.08,1111.0,4270.0
ASIANPAINT,2024-03,15.658543456824905,21.3692069305536,29.677488252883382,0.1321016659547202,41.00487804878049,1.187084044011906,3556.0,2548.0,57.0,195.08333333333334,58.0,2474.0,6104.0,31.75172153570418,18.588007090063876,excellent,0,,0,-2114.0,17.801037676951047,,13.029660349453076,,11.25245350301849,,20.117567163333238,,20.277362101955056,,15.971565352132288,,19.983162620797668,,20.973552688431262,,15.929283130870008,,0.9321931577763529,Moderate,7.17847584166784,Moderate,46.88200395517469,Reinvestor,35.63,Materials,2126725.18,73.37,3.9,2.42,5558.0,35495.0
SUNPHARMA,2024-03,19.815658700538176,26.84289749881436,15.094161810671148,0.051423814535002436,58.331932773109244,0.5684929901064378,11372.0,763.0,40.0,265.27916666666664,34.0,3274.0,12135.0,15.627194096293751,11.2650630655976,good,0,,0,-11752.0,13.126755589483485,,10.78116321985565,,11.67163711556578,,61.722961970425125,,24.536829642931245,,9.496531115092143,,49.380158218572156,,29.45936165164078,,10.30542524220699,,1.7566700862393236,High Quality,1.5732931933934058,Asset Light,87.35596865878014,Reinvestor,32.46,Healthcare,1339586.09,37.9,6.71,3.88,9610.0,48497.0
PIDILITIND,2024-03,14.108051360736493,21.868690947266415,20.780302129178065,0.045438325205186154,54.333333333333336,1.0254223252732693,955.0,1769.0,34.0,164.84313725490196,47.0,382.0,2724.0,26.93139151211742,14.466710831401125,excellent,0,,0,-1853.0,19.2998469335665,,11.836370175898114,,11.200766251991956,,15.76701574818362,,13.48774998597666,,14.527040733688779,,15.616214441920405,,13.564157249607756,,14.215130617291273,,1.1872411286700877,High Quality,14.285714285714285,Capital Intensive,35.2658788774003,Shareholder Returns,27.52,Materials,162274.18,36.12,12.3,1.01,1747.0,12383.0
