company_id,year,return_on_capital_pct,return_on_equity_pct,roce_percentage,roe_percentage,broad_sector,anomaly_category,roce_anomaly
ABB,2024-03,36.541512427287145,32.46823465801568,46.0,34.9,Industrials,version_difference,True
ADANIENSOL,2024-03,7.915753052644284,9.461276797721698,9.0,8.59,Energy,,False
ADANIENT,2024-03,7.984787232004292,8.534650424813185,11.6,13.64,Industrials,,False
ADANIGREEN,2024-03,7.249772398650458,12.812690665039659,96.5,14.7,Energy,formula_mismatch,True
ADANIPORTS,2024-03,11.44374462092168,15.3548827162833,12.9,18.1,Industrials,,False
ADANIPOWER,2024-03,18.385823227581948,48.27674122146251,32.2,57.1,Energy,formula_mismatch,True
AMBUJACEM,2024-03,11.33198908788993,11.428984947896565,12.8,9.24,Materials,,False
APOLLOHOSP,2024-03,13.913114353248023,13.480392156862745,17.2,13.81,Healthcare,,False
ASIANPAINT,2024-03,31.75172153570418,29.677488252883382,41.75,31.45,Materials,version_difference,True
ATGL,2024-03,18.41541755888651,18.65921787709497,21.2,20.5,Energy,,False
AXISBANK,2024-03,2.5207167817120824,15.832712405189048,7.06,18.4,Financials,,False
BAJAJ-AUTO,2024-03,27.207358942799765,26.61418410330778,33.5,26.5,Consumer Discretionary,version_difference,True
BAJAJFINSV,2024-03,11.44874463510097,25.850351412279537,21.14,11.72,Financials,formula_mismatch,True
BAJAJHLDNG,2024-03,2.8134781808138465,13.576787656460265,13.1,14.8,Financials,formula_mismatch,True
BAJFINANCE,2024-03,4.166013587646808,18.841921351830603,11.9,22.1,Financials,formula_mismatch,True
BANKBARODA,2024-03,2.7122786903374316,15.761863790899902,6.33,16.7,Financials,,False
BEL,2024-03,3628.3464566929133,4744.047619047619,34.6,26.3,Industrials,formula_mismatch,True
BHARTIARTL,2024-03,12.995496477326457,10.35839213740181,13.1,14.9,Communication Services,,False
BHEL,2024-03,1.3876374121463328,1.1539405843358703,3.28,1.05,Industrials,,False
BOSCHLTD,2024-03,13.756919771957365,20.639920424403183,20.6,16.0,Consumer Discretionary,formula_mismatch,True
BPCL,2024-03,28.649200669564017,35.511337343822305,32.1,41.9,Energy,,False
BRITANNIA,2024-03,47.735597735597736,54.14869322506978,48.9,57.1,Consumer Staples,,False
CANBK,2024-03,3.0948490094827803,16.716051794688113,6.63,17.9,Financials,,False
CHOLAFIN,2024-03,3.3666952254848512,17.455213596692694,10.4,20.2,Financials,formula_mismatch,True
CIPLA,2024-03,67.603154227031,15.554557028383135,22.8,16.8,Healthcare,formula_mismatch,True
COALINDIA,2024-03,98.16700839187479,45.16982956605826,63.6,52.0,Materials,formula_mismatch,True
DABUR,2024-03,17.816757189920754,18.355969997972835,22.3,19.2,Consumer Staples,,False
DIVISLAB,2024-03,13.49639015765434,11.78984599513669,16.5,12.2,Healthcare,,False
DLF,2024-03,4.464023494860499,6.908270142781061,5.74,6.95,Real Estate,,False
DMART,2024-03,17.49611197511664,13.56294790886726,19.4,14.5,Consumer Discretionary,,False
DRREDDY,2024-03,21.361052353252248,19.74233736816026,26.5,21.4,Healthcare,version_difference,True
EICHERMOT,2024-03,20.206889081455806,22.172346910501524,31.1,24.2,Consumer Discretionary,formula_mismatch,True
GAIL,2024-03,10.772236337318176,12.861540060002339,14.7,14.0,Energy,,False
GODREJCP,2024-03,17.168141592920357,-4.45308779171297,26.49,6.77,Consumer Staples,formula_mismatch,True
GRASIM,2024-03,9.828704031743781,11.196462612658342,9.3,6.9,Industrials,,False
HAL,2024-03,2590.993788819876,3816.5829145728644,38.9,28.9,Industrials,formula_mismatch,True
HAVELLS,2024-03,19.90967741935484,17.067275412917954,24.4,18.0,Industrials,,False
HCLTECH,2024-03,27.05313357020305,23.01393141233172,29.6,23.3,Information Technology,,False
HDFCBANK,2024-03,4.801033923800871,14.33974005030719,7.67,17.1,Financials,,False
HDFCLIFE,2024-03,645.952868852459,10.732306013909723,6.61,11.4,Financials,formula_mismatch,True
HEROMOTOCO,2024-03,173.7066375307293,21.14243742584327,29.1,22.0,Consumer Discretionary,formula_mismatch,True
HINDALCO,2024-03,113.57952517507476,9.567011474761177,11.3,10.2,Materials,formula_mismatch,True
HINDUNILVR,2024-03,87.32306174338734,20.074973642078955,27.2,20.2,Consumer Staples,formula_mismatch,True
ICICIBANK,2024-03,5.11888931768417,17.99027109750765,7.6,18.8,Financials,,False
ICICIGI,2024-03,145.22875816993462,15.7230643179025,22.5,17.0,Financials,formula_mismatch,True
ICICIPRULI,2024-03,753.9778779188856,7.732848705134029,8.75,8.07,Financials,formula_mismatch,True
INDIGO,2024-03,4953.540772532189,892.568306010929,24.5,,Consumer Discretionary,formula_mismatch,True
INDUSINDBK,2024-03,3.4759622860212316,14.252273197764223,7.93,15.2,Financials,,False
INFY,2024-03,32.906970717802544,29.788006718416632,40.0,31.8,Information Technology,version_difference,True
IOC,2024-03,18.915027923238778,23.53162465856491,21.31,25.44,Energy,,False
IRCTC,2024-03,42.82674772036474,34.39628482972136,53.8,40.4,Consumer Discretionary,version_difference,True
IRFC,2024-03,5.746523336036321,13.038085361638096,5.73,13.7,Financials,,False
ITC,2024-03,32.63868466782516,27.851074395694365,34.76,29.47,Consumer Staples,,False
JINDALSTEL,2024-03,12.14055405672172,13.410506363390198,13.2,14.1,Materials,,False
JIOFIN,2024-03,1.104587235082323,1.153456416595399,2.16,1.82,Financials,,False
JSWENERGY,2024-03,7.15389752886175,8.280529953917052,8.59,8.4,Energy,,False
JSWSTEEL,2024-03,12.064375531985535,11.5528718021347,13.36,11.66,Materials,,False
KOTAKBANK,2024-03,7.113136699541475,14.013018188532914,7.86,15.1,Financials,,False
LICI,2024-03,39.05035832114759,49.44710986501021,63.79,63.61,Financials,formula_mismatch,True
LODHA,2024-03,9.77867842810029,8.895758200240426,11.1,10.7,Real Estate,,False
LT,2024-03,118.53411200144868,77.66510140873214,17.18,10.49,Industrials,formula_mismatch,True
LTIM,2024-03,25.207116664403095,22.904386052552702,34.1,26.04,Information Technology,formula_mismatch,True
M&M,2024-03,11.535315751242587,18.537543435564285,26.98,17.99,Consumer Discretionary,formula_mismatch,True
MARUTI,2024-03,15.59092764270305,15.750385351954785,23.67,15.75,Consumer Discretionary,formula_mismatch,True
MOTHERSON,2024-03,11.962584369642121,11.546549416937488,13.7,11.8,Consumer Discretionary,,False
NAUKRI,2024-03,1.999475547397404,1.9661621835965897,3.65,2.44,Communication Services,,False
NESTLEIND,2024-03,143.14789687924016,117.75449101796407,185.43,135.61,Consumer Staples,version_difference,True
NHPC,2024-03,5.083984676480081,10.407730866621879,7.67,9.61,Energy,,False
NTPC,2024-03,8.86082631000827,13.273598407068633,10.58,12.52,Energy,,False
ONGC,2024-03,15.108995188179117,16.940398136885513,19.71,14.32,Energy,,False
PFC,2024-03,3.4803988753078574,26.1609340860332,9.96,19.49,Financials,formula_mismatch,True
PIDILITIND,2024-03,26.93139151211742,20.780302129178065,29.7,22.8,Materials,,False
PNB,2024-03,,61.320565191187306,1.63,8.7,Financials,,False
POWERGRID,2024-03,12.689046909266978,17.870011245496066,13.2,19.0,Energy,,False
RECLTD,2024-03,9.294489608054098,20.39653929343908,10.0,22.2,Financials,,False
RELIANCE,2024-03,8.915648413697072,9.958650553699458,9.61,9.25,Energy,,False
SBILIFE,2024-03,1.140327341024953,12.704588140595655,13.2,12.0,Financials,formula_mismatch,True
SHREECEM,2024-03,11.722348942260387,8.370767521615225,14.8,12.2,Materials,,False
SHRIRAMFIN,2024-03,4.0643421983857175,15.116350338120824,11.3,15.9,Financials,formula_mismatch,True
SIEMENS,2024-09,17.7411102583781,17.698769290877124,25.6,19.1,Industrials,formula_mismatch,True
SUNPHARMA,2024-03,15.627194096293751,15.094161810671148,17.3,16.7,Healthcare,,False
TATACONSUM,2024-03,9.762465444865363,7.566793298872766,10.6,8.32,Consumer Staples,,False
TATAMOTORS,2024-03,16.79050889790821,37.45613415294755,20.1,49.4,Consumer Discretionary,,False
TATAPOWER,2024-03,8.076006740658958,13.227840276919272,11.1,11.3,Energy,,False
TATASTEEL,2024-03,6.903867304610952,-5.334926929972293,7.02,6.55,Materials,,False
TCS,2024-03,60.2081007004365,50.944313673485176,64.3,0.52,Information Technology,,False
TECHM,2024-03,9.207012257755256,8.987963553189097,11.9,8.63,Information Technology,,False
TITAN,2024-03,18.891697764937202,37.2192057915469,22.7,32.9,Consumer Discretionary,,False
TORNTPHARM,2024-03,23.533737819452107,24.154025670945156,23.2,24.2,Healthcare,,False
TRENT,2024-03,22.33293248582718,36.30776794493609,23.8,27.2,Consumer Discretionary,,False
TVSMOTOR,2024-03,13.799939005794448,26.223466981132077,,,Consumer Discretionary,,False
